Country_Name,Year,Quarter,YearQuarter,ICT_Type,ICTUsagePercentage,UnitOfMeasure,Breakdown
Finland,2024,,2024,Individuals using the Internet - last 3 months,97.94850000000001,Percentage of population,Breakdown: From 16 to 74 years
Finland,2025,,2025,Individuals using the Internet - last 3 months,98.0796,Percentage of population,Breakdown: From 16 to 74 years
France,2018,,2018,Individuals using the Internet - last 3 months,88.17150000000001,Percentage of population,Breakdown: From 16 to 74 years
France,2019,,2019,Individuals using the Internet - last 3 months,89.38589999999999,Percentage of population,Breakdown: From 16 to 74 years
France,2021,,2021,Individuals using the Internet - last 3 months,91.5543,Percentage of population,Breakdown: From 16 to 74 years
France,2022,,2022,Individuals using the Internet - last 3 months,90.6009,Percentage of population,Breakdown: From 16 to 74 years
France,2023,,2023,Individuals using the Internet - last 3 months,92.8283,Percentage of population,Breakdown: From 16 to 74 years
France,2024,,2024,Individuals using the Internet - last 3 months,94.1429,Percentage of population,Breakdown: From 16 to 74 years
France,2025,,2025,Individuals using the Internet - last 3 months,94.978,Percentage of population,Breakdown: From 16 to 74 years
Germany,2018,,2018,Individuals using the Internet - last 3 months,92.35409999999999,Percentage of population,Breakdown: From 16 to 74 years
Germany,2019,,2019,Individuals using the Internet - last 3 months,92.9795,Percentage of population,Breakdown: From 16 to 74 years
Germany,2020,,2020,Individuals using the Internet - last 3 months,94.29990000000001,Percentage of population,Breakdown: From 16 to 74 years
Germany,2021,,2021,Individuals using the Internet - last 3 months,91.4306,Percentage of population,Breakdown: From 16 to 74 years
Germany,2022,,2022,Individuals using the Internet - last 3 months,91.62979999999999,Percentage of population,Breakdown: From 16 to 74 years
Germany,2023,,2023,Individuals using the Internet - last 3 months,92.4764,Percentage of population,Breakdown: From 16 to 74 years
Germany,2024,,2024,Individuals using the Internet - last 3 months,93.5,Percentage of population,Breakdown: From 16 to 74 years
Germany,2025,,2025,Individuals using the Internet - last 3 months,94.5813,Percentage of population,Breakdown: From 16 to 74 years
Greece,2018,,2018,Individuals using the Internet - last 3 months,72.2384,Percentage of population,Breakdown: From 16 to 74 years
Greece,2019,,2019,Individuals using the Internet - last 3 months,75.6712,Percentage of population,Breakdown: From 16 to 74 years
Greece,2020,,2020,Individuals using the Internet - last 3 months,78.11580000000001,Percentage of population,Breakdown: From 16 to 74 years
Greece,2021,,2021,Individuals using the Internet - last 3 months,78.4943,Percentage of population,Breakdown: From 16 to 74 years
Greece,2022,,2022,Individuals using the Internet - last 3 months,83.1707,Percentage of population,Breakdown: From 16 to 74 years
Greece,2023,,2023,Individuals using the Internet - last 3 months,85.0102,Percentage of population,Breakdown: From 16 to 74 years
Greece,2024,,2024,Individuals using the Internet - last 3 months,86.292,Percentage of population,Breakdown: From 16 to 74 years
Greece,2025,,2025,Individuals using the Internet - last 3 months,89.1532,Percentage of population,Breakdown: From 16 to 74 years
Hungary,2018,,2018,Individuals using the Internet - last 3 months,76.0744,Percentage of population,Breakdown: From 16 to 74 years
Hungary,2019,,2019,Individuals using the Internet - last 3 months,80.3717,Percentage of population,Breakdown: From 16 to 74 years
Hungary,2020,,2020,Individuals using the Internet - last 3 months,84.77120000000001,Percentage of population,Breakdown: From 16 to 74 years
Hungary,2021,,2021,Individuals using the Internet - last 3 months,88.6408,Percentage of population,Breakdown: From 16 to 74 years
Hungary,2022,,2022,Individuals using the Internet - last 3 months,89.1428,Percentage of population,Breakdown: From 16 to 74 years
Hungary,2023,,2023,Individuals using the Internet - last 3 months,91.4501,Percentage of population,Breakdown: From 16 to 74 years
Hungary,2024,,2024,Individuals using the Internet - last 3 months,93.779,Percentage of population,Breakdown: From 16 to 74 years
Hungary,2025,,2025,Individuals using the Internet - last 3 months,92.80460000000001,Percentage of population,Breakdown: From 16 to 74 years
Iceland,2018,,2018,Individuals using the Internet - last 3 months,99.0198,Percentage of population,Breakdown: From 16 to 74 years
Iceland,2019,,2019,Individuals using the Internet - last 3 months,99.0333,Percentage of population,Breakdown: From 16 to 74 years
Iceland,2020,,2020,Individuals using the Internet - last 3 months,99.4731,Percentage of population,Breakdown: From 16 to 74 years
Iceland,2021,,2021,Individuals using the Internet - last 3 months,99.4419,Percentage of population,Breakdown: From 16 to 74 years
Ireland,2018,,2018,Individuals using the Internet - last 3 months,82.2106,Percentage of population,Breakdown: From 16 to 74 years
Ireland,2019,,2019,Individuals using the Internet - last 3 months,90.3436,Percentage of population,Breakdown: From 16 to 74 years
Ireland,2020,,2020,Individuals using the Internet - last 3 months,91.0143,Percentage of population,Breakdown: From 16 to 74 years
Ireland,2021,,2021,Individuals using the Internet - last 3 months,98.93220000000001,Percentage of population,Breakdown: From 16 to 74 years
Ireland,2022,,2022,Individuals using the Internet - last 3 months,92.0072,Percentage of population,Breakdown: From 16 to 74 years
Ireland,2023,,2023,Individuals using the Internet - last 3 months,93.27260000000001,Percentage of population,Breakdown: From 16 to 74 years
Ireland,2024,,2024,Individuals using the Internet - last 3 months,98.6024,Percentage of population,Breakdown: From 16 to 74 years
Ireland,2025,,2025,Individuals using the Internet - last 3 months,99.7764,Percentage of population,Breakdown: From 16 to 74 years
Israel,2018,,2018,Individuals using the Internet - last 3 months,86.7,Percentage of population,Breakdown: From 16 to 74 years
Israel,2019,,2019,Individuals using the Internet - last 3 months,89.5,Percentage of population,Breakdown: From 16 to 74 years
Israel,2020,,2020,Individuals using the Internet - last 3 months,90.1,Percentage of population,Breakdown: From 16 to 74 years
Israel,2021,,2021,Individuals using the Internet - last 3 months,92.5,Percentage of population,Breakdown: From 16 to 74 years
Italy,2018,,2018,Individuals using the Internet - last 3 months,74.1506,Percentage of population,Breakdown: From 16 to 74 years
Italy,2019,,2019,Individuals using the Internet - last 3 months,75.5675,Percentage of population,Breakdown: From 16 to 74 years
Italy,2020,,2020,Individuals using the Internet - last 3 months,77.9465,Percentage of population,Breakdown: From 16 to 74 years
Italy,2021,,2021,Individuals using the Internet - last 3 months,81.5869,Percentage of population,Breakdown: From 16 to 74 years
Italy,2022,,2022,Individuals using the Internet - last 3 months,85.0692,Percentage of population,Breakdown: From 16 to 74 years
Italy,2023,,2023,Individuals using the Internet - last 3 months,86.9205,Percentage of population,Breakdown: From 16 to 74 years
Italy,2024,,2024,Individuals using the Internet - last 3 months,89.2333,Percentage of population,Breakdown: From 16 to 74 years
Italy,2025,,2025,Individuals using the Internet - last 3 months,90.32289999999999,Percentage of population,Breakdown: From 16 to 74 years
Korea,2018,,2018,Individuals using the Internet - last 3 months,96.02285882,Percentage of population,Breakdown: From 16 to 74 years
Korea,2019,,2019,Individuals using the Internet - last 3 months,96.15757971,Percentage of population,Breakdown: From 16 to 74 years
Korea,2020,,2020,Individuals using the Internet - last 3 months,96.50506035,Percentage of population,Breakdown: From 16 to 74 years
Korea,2021,,2021,Individuals using the Internet - last 3 months,97.571327,Percentage of population,Breakdown: From 16 to 74 years
Korea,2022,,2022,Individuals using the Internet - last 3 months,97.16855335,Percentage of population,Breakdown: From 16 to 74 years
Korea,2023,,2023,Individuals using the Internet - last 3 months,97.41597478,Percentage of population,Breakdown: From 16 to 74 years
Korea,2024,,2024,Individuals using the Internet - last 3 months,97.89563776623511,Percentage of population,Breakdown: From 16 to 74 years
Latvia,2018,,2018,Individuals using the Internet - last 3 months,83.57719999999999,Percentage of population,Breakdown: From 16 to 74 years
Latvia,2019,,2019,Individuals using the Internet - last 3 months,86.1355,Percentage of population,Breakdown: From 16 to 74 years
Latvia,2020,,2020,Individuals using the Internet - last 3 months,88.898,Percentage of population,Breakdown: From 16 to 74 years
Latvia,2021,,2021,Individuals using the Internet - last 3 months,91.2984,Percentage of population,Breakdown: From 16 to 74 years
Latvia,2022,,2022,Individuals using the Internet - last 3 months,91.3145,Percentage of population,Breakdown: From 16 to 74 years
Latvia,2023,,2023,Individuals using the Internet - last 3 months,92.3327,Percentage of population,Breakdown: From 16 to 74 years
Latvia,2024,,2024,Individuals using the Internet - last 3 months,93.19669999999999,Percentage of population,Breakdown: From 16 to 74 years
Latvia,2025,,2025,Individuals using the Internet - last 3 months,94.5298,Percentage of population,Breakdown: From 16 to 74 years
Lithuania,2018,,2018,Individuals using the Internet - last 3 months,79.7226,Percentage of population,Breakdown: From 16 to 74 years
Lithuania,2019,,2019,Individuals using the Internet - last 3 months,81.58189999999999,Percentage of population,Breakdown: From 16 to 74 years
Lithuania,2020,,2020,Individuals using the Internet - last 3 months,83.0556,Percentage of population,Breakdown: From 16 to 74 years
Lithuania,2021,,2021,Individuals using the Internet - last 3 months,86.9306,Percentage of population,Breakdown: From 16 to 74 years
Lithuania,2022,,2022,Individuals using the Internet - last 3 months,87.7242,Percentage of population,Breakdown: From 16 to 74 years
Lithuania,2023,,2023,Individuals using the Internet - last 3 months,88.5029,Percentage of population,Breakdown: From 16 to 74 years
Lithuania,2024,,2024,Individuals using the Internet - last 3 months,89.1612,Percentage of population,Breakdown: From 16 to 74 years
Lithuania,2025,,2025,Individuals using the Internet - last 3 months,89.2988,Percentage of population,Breakdown: From 16 to 74 years
Luxembourg,2018,,2018,Individuals using the Internet - last 3 months,96.5167,Percentage of population,Breakdown: From 16 to 74 years
Luxembourg,2019,,2019,Individuals using the Internet - last 3 months,96.4202,Percentage of population,Breakdown: From 16 to 74 years
Luxembourg,2020,,2020,Individuals using the Internet - last 3 months,98.45960000000001,Percentage of population,Breakdown: From 16 to 74 years
Luxembourg,2021,,2021,Individuals using the Internet - last 3 months,98.6609,Percentage of population,Breakdown: From 16 to 74 years
Luxembourg,2022,,2022,Individuals using the Internet - last 3 months,98.2419,Percentage of population,Breakdown: From 16 to 74 years
Luxembourg,2023,,2023,Individuals using the Internet - last 3 months,99.3479,Percentage of population,Breakdown: From 16 to 74 years
Luxembourg,2024,,2024,Individuals using the Internet - last 3 months,98.7605,Percentage of population,Breakdown: From 16 to 74 years
Luxembourg,2025,,2025,Individuals using the Internet - last 3 months,99.12910000000001,Percentage of population,Breakdown: From 16 to 74 years
Mexico,2018,,2018,Individuals using the Internet - last 3 months,67.32916571,Percentage of population,Breakdown: From 16 to 74 years
Mexico,2019,,2019,Individuals using the Internet - last 3 months,72.45780066,Percentage of population,Breakdown: From 16 to 74 years
Mexico,2020,,2020,Individuals using the Internet - last 3 months,73.26410664,Percentage of population,Breakdown: From 16 to 74 years
Mexico,2021,,2021,Individuals using the Internet - last 3 months,77.3656921,Percentage of population,Breakdown: From 16 to 74 years
Mexico,2022,,2022,Individuals using the Internet - last 3 months,81.19615544,Percentage of population,Breakdown: From 16 to 74 years
Mexico,2023,,2023,Individuals using the Internet - last 3 months,84.45393313828833,Percentage of population,Breakdown: From 16 to 74 years
Mexico,2024,,2024,Individuals using the Internet - last 3 months,85.81666243198377,Percentage of population,Breakdown: From 16 to 74 years
Netherlands,2018,,2018,Individuals using the Internet - last 3 months,94.66329999999999,Percentage of population,Breakdown: From 16 to 74 years
Netherlands,2019,,2019,Individuals using the Internet - last 3 months,96.04780000000001,Percentage of population,Breakdown: From 16 to 74 years
Netherlands,2020,,2020,Individuals using the Internet - last 3 months,94.0188,Percentage of population,Breakdown: From 16 to 74 years
Netherlands,2021,,2021,Individuals using the Internet - last 3 months,94.5159,Percentage of population,Breakdown: From 16 to 74 years
Netherlands,2022,,2022,Individuals using the Internet - last 3 months,94.7427,Percentage of population,Breakdown: From 16 to 74 years
Netherlands,2023,,2023,Individuals using the Internet - last 3 months,99.1518,Percentage of population,Breakdown: From 16 to 74 years
Netherlands,2024,,2024,Individuals using the Internet - last 3 months,99.5219,Percentage of population,Breakdown: From 16 to 74 years
Netherlands,2025,,2025,Individuals using the Internet - last 3 months,99.70790000000001,Percentage of population,Breakdown: From 16 to 74 years
Norway,2018,,2018,Individuals using the Internet - last 3 months,97.38510000000001,Percentage of population,Breakdown: From 16 to 74 years
Norway,2019,,2019,Individuals using the Internet - last 3 months,98.3963,Percentage of population,Breakdown: From 16 to 74 years
Norway,2020,,2020,Individuals using the Internet - last 3 months,97.6195,Percentage of population,Breakdown: From 16 to 74 years
Norway,2021,,2021,Individuals using the Internet - last 3 months,99.4235,Percentage of population,Breakdown: From 16 to 74 years
Norway,2022,,2022,Individuals using the Internet - last 3 months,99.6965,Percentage of population,Breakdown: From 16 to 74 years
Norway,2023,,2023,Individuals using the Internet - last 3 months,99.6798,Percentage of population,Breakdown: From 16 to 74 years
Norway,2024,,2024,Individuals using the Internet - last 3 months,99.4646,Percentage of population,Breakdown: From 16 to 74 years
Norway,2025,,2025,Individuals using the Internet - last 3 months,98.8168,Percentage of population,Breakdown: From 16 to 74 years
Poland,2018,,2018,Individuals using the Internet - last 3 months,77.5417,Percentage of population,Breakdown: From 16 to 74 years
Poland,2019,,2019,Individuals using the Internet - last 3 months,80.4359,Percentage of population,Breakdown: From 16 to 74 years
Poland,2020,,2020,Individuals using the Internet - last 3 months,83.1849,Percentage of population,Breakdown: From 16 to 74 years
Poland,2021,,2021,Individuals using the Internet - last 3 months,85.3749,Percentage of population,Breakdown: From 16 to 74 years
Poland,2022,,2022,Individuals using the Internet - last 3 months,86.9411,Percentage of population,Breakdown: From 16 to 74 years
Poland,2023,,2023,Individuals using the Internet - last 3 months,86.4147,Percentage of population,Breakdown: From 16 to 74 years
Poland,2024,,2024,Individuals using the Internet - last 3 months,88.58500000000001,Percentage of population,Breakdown: From 16 to 74 years
Poland,2025,,2025,Individuals using the Internet - last 3 months,89.6531,Percentage of population,Breakdown: From 16 to 74 years
Portugal,2018,,2018,Individuals using the Internet - last 3 months,74.661,Percentage of population,Breakdown: From 16 to 74 years
Portugal,2019,,2019,Individuals using the Internet - last 3 months,75.3464,Percentage of population,Breakdown: From 16 to 74 years
Portugal,2020,,2020,Individuals using the Internet - last 3 months,78.26140000000001,Percentage of population,Breakdown: From 16 to 74 years
Portugal,2021,,2021,Individuals using the Internet - last 3 months,82.309,Percentage of population,Breakdown: From 16 to 74 years
Portugal,2022,,2022,Individuals using the Internet - last 3 months,84.4969,Percentage of population,Breakdown: From 16 to 74 years
Portugal,2023,,2023,Individuals using the Internet - last 3 months,85.7901,Percentage of population,Breakdown: From 16 to 74 years
Portugal,2024,,2024,Individuals using the Internet - last 3 months,88.48700000000001,Percentage of population,Breakdown: From 16 to 74 years
Portugal,2025,,2025,Individuals using the Internet - last 3 months,89.4516,Percentage of population,Breakdown: From 16 to 74 years
Slovak Republic,2018,,2018,Individuals using the Internet - last 3 months,80.4489,Percentage of population,Breakdown: From 16 to 74 years
Slovak Republic,2019,,2019,Individuals using the Internet - last 3 months,82.8537,Percentage of population,Breakdown: From 16 to 74 years
Slovak Republic,2020,,2020,Individuals using the Internet - last 3 months,89.9209,Percentage of population,Breakdown: From 16 to 74 years
Slovak Republic,2021,,2021,Individuals using the Internet - last 3 months,88.9256,Percentage of population,Breakdown: From 16 to 74 years
Slovak Republic,2022,,2022,Individuals using the Internet - last 3 months,89.0677,Percentage of population,Breakdown: From 16 to 74 years
Slovak Republic,2023,,2023,Individuals using the Internet - last 3 months,87.2131,Percentage of population,Breakdown: From 16 to 74 years
Slovak Republic,2024,,2024,Individuals using the Internet - last 3 months,89.8251,Percentage of population,Breakdown: From 16 to 74 years
Slovak Republic,2025,,2025,Individuals using the Internet - last 3 months,92.4941,Percentage of population,Breakdown: From 16 to 74 years
Slovenia,2018,,2018,Individuals using the Internet - last 3 months,79.75,Percentage of population,Breakdown: From 16 to 74 years
Slovenia,2019,,2019,Individuals using the Internet - last 3 months,83.1084,Percentage of population,Breakdown: From 16 to 74 years
Slovenia,2020,,2020,Individuals using the Internet - last 3 months,86.60130000000001,Percentage of population,Breakdown: From 16 to 74 years
Slovenia,2021,,2021,Individuals using the Internet - last 3 months,89.004,Percentage of population,Breakdown: From 16 to 74 years
Slovenia,2022,,2022,Individuals using the Internet - last 3 months,88.9124,Percentage of population,Breakdown: From 16 to 74 years
Slovenia,2023,,2023,Individuals using the Internet - last 3 months,90.3779,Percentage of population,Breakdown: From 16 to 74 years
Slovenia,2024,,2024,Individuals using the Internet - last 3 months,90.7635,Percentage of population,Breakdown: From 16 to 74 years
Slovenia,2025,,2025,Individuals using the Internet - last 3 months,91.5671,Percentage of population,Breakdown: From 16 to 74 years
Spain,2018,,2018,Individuals using the Internet - last 3 months,86.10719999999999,Percentage of population,Breakdown: From 16 to 74 years
Spain,2019,,2019,Individuals using the Internet - last 3 months,90.7187,Percentage of population,Breakdown: From 16 to 74 years
Spain,2020,,2020,Individuals using the Internet - last 3 months,93.2056,Percentage of population,Breakdown: From 16 to 74 years
Spain,2021,,2021,Individuals using the Internet - last 3 months,93.8975,Percentage of population,Breakdown: From 16 to 74 years
Spain,2022,,2022,Individuals using the Internet - last 3 months,94.4855,Percentage of population,Breakdown: From 16 to 74 years
Spain,2023,,2023,Individuals using the Internet - last 3 months,95.4456,Percentage of population,Breakdown: From 16 to 74 years
Spain,2024,,2024,Individuals using the Internet - last 3 months,95.7782,Percentage of population,Breakdown: From 16 to 74 years
Spain,2025,,2025,Individuals using the Internet - last 3 months,96.3365,Percentage of population,Breakdown: From 16 to 74 years
Sweden,2018,,2018,Individuals using the Internet - last 3 months,92.07889999999999,Percentage of population,Breakdown: From 16 to 74 years
Sweden,2019,,2019,Individuals using the Internet - last 3 months,97.5515,Percentage of population,Breakdown: From 16 to 74 years
Sweden,2020,,2020,Individuals using the Internet - last 3 months,97.0802,Percentage of population,Breakdown: From 16 to 74 years
Sweden,2021,,2021,Individuals using the Internet - last 3 months,96.76010000000001,Percentage of population,Breakdown: From 16 to 74 years
Sweden,2022,,2022,Individuals using the Internet - last 3 months,96.8115,Percentage of population,Breakdown: From 16 to 74 years
Sweden,2023,,2023,Individuals using the Internet - last 3 months,97.5946,Percentage of population,Breakdown: From 16 to 74 years
Sweden,2024,,2024,Individuals using the Internet - last 3 months,98.0766,Percentage of population,Breakdown: From 16 to 74 years
Sweden,2025,,2025,Individuals using the Internet - last 3 months,98.2525,Percentage of population,Breakdown: From 16 to 74 years
Switzerland,2019,,2019,Individuals using the Internet - last 3 months,96.50568,Percentage of population,Breakdown: From 16 to 74 years
Switzerland,2021,,2021,Individuals using the Internet - last 3 months,98.1403,Percentage of population,Breakdown: From 16 to 74 years
Switzerland,2023,,2023,Individuals using the Internet - last 3 months,99.2513,Percentage of population,Breakdown: From 16 to 74 years
Switzerland,2025,,2025,Individuals using the Internet - last 3 months,98.9208,Percentage of population,Breakdown: From 16 to 74 years
Türkiye,2018,,2018,Individuals using the Internet - last 3 months,71.0418,Percentage of population,Breakdown: From 16 to 74 years
Türkiye,2019,,2019,Individuals using the Internet - last 3 months,73.9767,Percentage of population,Breakdown: From 16 to 74 years
Türkiye,2020,,2020,Individuals using the Internet - last 3 months,77.6696,Percentage of population,Breakdown: From 16 to 74 years
Türkiye,2021,,2021,Individuals using the Internet - last 3 months,81.4084,Percentage of population,Breakdown: From 16 to 74 years
Türkiye,2022,,2022,Individuals using the Internet - last 3 months,83.4372,Percentage of population,Breakdown: From 16 to 74 years
Türkiye,2023,,2023,Individuals using the Internet - last 3 months,85.9607,Percentage of population,Breakdown: From 16 to 74 years
Türkiye,2024,,2024,Individuals using the Internet - last 3 months,87.3079,Percentage of population,Breakdown: From 16 to 74 years
Türkiye,2025,,2025,Individuals using the Internet - last 3 months,89.7702,Percentage of population,Breakdown: From 16 to 74 years
United Kingdom,2018,,2018,Individuals using the Internet - last 3 months,94.7763,Percentage of population,Breakdown: From 16 to 74 years
United Kingdom,2019,,2019,Individuals using the Internet - last 3 months,95.5732,Percentage of population,Breakdown: From 16 to 74 years
United Kingdom,2020,,2020,Individuals using the Internet - last 3 months,97.3206,Percentage of population,Breakdown: From 16 to 74 years
United States,2019,,2019,Individuals using the Internet - last 3 months,83.26,Percentage of population,Breakdown: From 16 to 74 years
United States,2021,,2021,Individuals using the Internet - last 3 months,83.86,Percentage of population,Breakdown: From 16 to 74 years
United States,2023,,2023,Individuals using the Internet - last 3 months,86.46,Percentage of population,Breakdown: From 16 to 74 years
Brazil,2018,,2018,Individuals using the Internet - last 3 months,71.64224449,Percentage of population,Breakdown: From 16 to 74 years
Brazil,2019,,2019,Individuals using the Internet - last 3 months,75.81524792,Percentage of population,Breakdown: From 16 to 74 years
Brazil,2020,,2020,Individuals using the Internet - last 3 months,82.34,Percentage of population,Breakdown: From 16 to 74 years
Brazil,2021,,2021,Individuals using the Internet - last 3 months,82.38,Percentage of population,Breakdown: From 16 to 74 years
Brazil,2022,,2022,Individuals using the Internet - last 3 months,81.95,Percentage of population,Breakdown: From 16 to 74 years
Brazil,2023,,2023,Individuals using the Internet - last 3 months,86.09,Percentage of population,Breakdown: From 16 to 74 years
Brazil,2024,,2024,Individuals using the Internet - last 3 months,86.05,Percentage of population,Breakdown: From 16 to 74 years
Bulgaria,2018,,2018,Individuals using the Internet - last 3 months,64.782,Percentage of population,Breakdown: From 16 to 74 years
Bulgaria,2019,,2019,Individuals using the Internet - last 3 months,67.947,Percentage of population,Breakdown: From 16 to 74 years
Bulgaria,2020,,2020,Individuals using the Internet - last 3 months,70.16250000000001,Percentage of population,Breakdown: From 16 to 74 years
Bulgaria,2021,,2021,Individuals using the Internet - last 3 months,75.2714,Percentage of population,Breakdown: From 16 to 74 years
